,name,latitude,longitude,population
380,Tolyatti,53.51495,49.407574,707408
381,Krasnodar,45.0352566,38.9764814,1405000
382,Yaroslavl,57.6263877,39.8933705,603961
383,Barnaul,53.347402,83.7784496,632723
384,Irkutsk,52.289597,104.280586,623736
385,Novokuznetsk,53.757607,87.136101,552105
386,Orenburg,51.767452,55.097118,564443
387,Ryazan,54.6295687,39.7425039,538962
388,Penza,53.200001,45.0,523726
389,Tyumen,57.153534,65.542274,744554
390,Nizhny Novgorod,56.328571,44.003506,1252236
391,Brăila,45.2716092,27.9742932,180302
392,Focșani,45.697274,27.1856921,97186
393,Västerås,59.6110992,16.5463679,110877
394,Bishkek,42.8765615,74.6070079,1012500
395,Tashkent,41.3123363,69.2787079,2571700
396,Semey,50.405029,80.249176,330338
397,Houston,29.7589382,-95.3676974,2100263
398,Dushanbe,38.5762709,68.7863573,846400
399,Ulaanbaatar,47.9184676,106.9177016,1401200
400,Nur-Sultan,51.1282205,71.4306682,814400
401,Hamedan,34.7983271,48.5148499,526000
402,Östersund,63.1793655,14.6357061,44000
403,Luleå,65.5831187,22.1459535,73864
404,Örnsköldsvik,63.2888613,18.7160209,32953
405,Niamey,13.524834,2.109823,1026848
406,Luanda,-8.8272699,13.2439512,5172900
407,Constantine,36.364519,6.60826,448374
408,Bamako,12.649319,-8.000337,1809106
409,Suez,29.974498,32.537086,488125
410,Tunis,36.8002068,10.1857757,728453
411,Lubumbashi,-11.6642316,27.4826264,1139064
412,Port Said,31.263235,32.305505,538378
413,Monrovia,6.328034,-10.797788,1010970
414,Matola,-25.966917,32.466956,675422
415,Bangui,4.3907153,18.5509126,734350
416,Lusaka,-15.4164488,28.2821535,1742979
417,Durban,-29.861825,31.009909,3460000
418,Ouagadougou,12.3681873,-1.5270944,1915102
419,Warri,5.517,5.75,311970
420,Bouaké,7.6906058,-5.0298408,659223
421,Alexandria,31.199004,29.894378,4546231
422,N'Djamena,12.1191543,15.0502758,1092066
423,Dar es-Salaam,-6.8160837,39.2803583,4364541
424,Mbuji-Mayi,-6.1258942,23.5998111,1680991
425,Oyo,7.8410537,3.9315363,736100
426,Dakar,14.693425,-17.447938,2396800
427,Soweto,-26.2227778,27.89,1270000
428,Ogbomosho,8.133,4.25,1032000
429,Freetown,8.479004,-13.26795,951000
430,Conakry,9.5170602,-13.6998434,1660973
431,Port Harcourt,4.7676576,7.0188527,1382592
432,Libreville,0.390002,9.454001,850000
433,Addis Ababa,9.0107934,38.7612525,3500000
434,Agadir,30.4211144,-9.5830626,421844
435,Accra,5.5600141,-0.2057437,2388000
436,Maputo,-25.966213,32.56745,1244227
437,Djibouti,11.5936903,43.1472724,475332
438,Ilorin,8.4963657,4.5480484,847582
439,Kaduna,10.5182899,7.4359863,760084
440,Oran,35.7032751,-0.6492976,852576
441,Nairobi,-1.2832533,36.8172449,3138295
442,Enugu,6.4499833,7.5000007,722664
443,Abeokuta,7.161,3.348,888924
444,Maiduguri,11.8395375,13.1536214,1197497
445,Blantyre,-15.7862543,35.0035694,994500
446,Antananarivo,-18.9100122,47.5255809,2200000
447,Khartoum,15.593325,32.53565,2682431
448,Giza,29.9870753,31.2118063,2681863
449,Lagos,6.4550575,3.3941795,10404112
450,Örebro,59.2747287,15.2151181,98237
451,Praia,14.9160169,-23.5096132,127832
452,New Orleans,29.9499323,-90.0701156,391006
453,Kos,36.8940286,27.2866636,19432
454,Pamplona,42.8184538,-1.6442556,196166
455,Selkirk,50.146986,-96.880188,9834
456,Eskilstuna,59.3717379,16.5051474,60185
457,Gliwice,50.294113,18.6657306,185450
458,Santa Cruz de Tenerife,28.469648,-16.2540884,144518
459,Siegen,50.8749804,8.0227233,99403
460,Oulu,65.0118734,25.4716809,193825
461,Nazarabad,35.9558897,50.6097443,119512
462,Jerusalem,31.7685298,35.2136487,780200
463,Rijeka,45.3271752,14.4412309,128624
464,Segovia,40.9502159,-4.1241494,50309
465,Valladolid,41.6521328,-4.728562,299186
466,Perth,-31.9527121,115.8604796,1907833
467,Las Palmas de Gran Canaria,28.128874,-15.4349448,377203
468,Safi,32.299424,-9.239533,485798
469,Alice Springs,-23.6983884,133.8812885,28605
470,Port Augusta,-32.4908819,137.7639874,13986
471,Cairns,-16.9206657,145.7721854,133893
472,Shreveport,32.5221828,-93.7651944,199244
473,Heraklion,35.3400127,25.1343475,138000
474,Ventspils,57.3903918,21.5635991,41998
475,Seattle,47.6038321,-122.3300624,744955
476,Ras Sudr,29.593487,32.718536,1725
477,Chorzów,50.2978791,18.9544466,110761
478,Red Deer,52.2697395,-113.8181766,100418
479,Assen,52.9953538,6.560553,66895
480,Brooks,50.571027,-111.893005,11604
481,Medicine Hat,50.04303,-110.679016,56997
482,Neuss,51.1981778,6.6916476,159122
483,Villach,46.6167284,13.8500268,61221
484,Klagenfurt,46.6228162,14.3079604,100316
485,Tallinn,59.4372155,24.7453688,444563
486,Boma,-5.85,13.05,162521
487,Bolobo,-2.166682,16.23333,31366
488,Edmonton,53.535411,-113.507996,928182
489,Pokhara,28.209538,83.991402,200000
490,Bergisch Gladbach,50.9929303,7.1277379,109425
491,Bukhara,39.7675529,64.4231326,272500
492,Jakarta,-6.1753942,106.827183,10467629
493,Janesville,42.6829765,-89.0226793,63575
494,Madison,43.074761,-89.3837613,243344
495,Mariupol,47.0957648,37.5499621,453623
496,Taganrog,47.2153657,38.9285216,251050
497,Mestre,45.4943063,12.2418053,103050
498,Yorkton,51.212045,-102.461243,15669
499,Lublin,51.250559,22.5701022,340466
500,Albacete,38.9950921,-1.8559154,173329
501,Fond du Lac,43.7748763,-88.4458033,43021
502,Łódź,51.7687323,19.4569911,711332
503,Ardabil,38.2514233,48.297487,482632
504,Brunswick,52.2646577,10.5236066,248023
505,Victoria,48.4283182,-123.3649533,80017
506,Greenville,34.851354,-82.3984882,60709
507,East London,-33.0191604,27.8998573,267007
508,Recklinghausen,51.6143815,7.1978546,115320
509,eMalahleni,-25.8763485,29.2010447,108673
510,Daugavpils,55.8712267,26.5159337,101057
511,Stavanger,58.9689601,5.7294654,225020
512,Szeged,46.2546312,20.1486016,162621
513,Maseru,-29.310054,27.478222,227880
514,Gaborone,-24.6581357,25.9088474,231626
515,São Paulo,-23.5506507,-46.6333824,12176866
516,Taboão da Serra,-23.6121912,-46.7790539,272200
517,São Bernardo do Campo,-23.7080345,-46.5506747,817000
518,São Caetano do Sul,-23.6195923,-46.5688323,158024
519,Kalgoorlie,-30.7464139,121.473223,29875
520,Ourense,42.3436415,-7.8674242,107186
521,Vantaa,60.3091871,25.0364526,208052
522,Mildura,-34.1847265,142.1624972,48691
523,Girona,41.9793006,2.8199439,92186
524,Quebec,46.8259601,-71.2352226,530168
525,Urdaneta,15.9753832,120.5670011,132940
526,Tarlac City,15.485997,120.589556,342493
527,Bendigo,-36.7588767,144.2825931,86510
528,Tamale,9.4051992,-0.8423986,950124
529,Tampere,61.4980214,23.7603118,220579
530,Kuopio,62.8924601,27.6781839,118209
531,Lahti,60.9838761,25.6561814,103416
532,Joensuu,62.6006257,29.7584591,74279
533,Kajaani,64.2240872,27.7334227,37889
534,Kokkola,63.8391421,23.1336845,47018
535,Kotka,60.4674228,26.9450844,54782
536,Kouvola,60.8701996,26.7018042,82104
537,Lappeenranta,61.0582424,28.1875302,72698
538,Seinäjoki,62.7954104,22.8442015,60371
539,Hämeenlinna,60.9948584,24.46654,68001
540,Rovaniemi,66.4976214,25.7192101,61842
541,Mikkeli,61.6877956,27.2726569,54649
542,Blagoevgrad,42.0111077,23.0906457,75079
543,Burgas,42.4936616,27.4721276,206371
544,Dobrich,43.5688397,27.8297415,89627
545,Gabrovo,42.8710344,25.315798,59611
546,Haskovo,41.9345727,25.5556639,76587
547,Yambol,42.483935,26.5105553,76599
548,Kardzhali,41.643746,25.3722156,49421
549,Kyustendil,42.2809956,22.6890196,47640
550,Lovech,43.1349971,24.715431,37297
551,Montana,43.4088984,23.2203193,44502
552,Pazardzhik,42.1884549,24.3318993,76739
553,Pleven,43.409022,24.6180123,111567
554,Razgrad,43.5258211,26.5230603,35049
555,Silistra,44.1191686,27.2613605,37923
556,Sliven,42.6817633,26.3153528,95806
557,Smolyan,41.5768238,24.7010351,30507
558,Targovishte,43.251196,26.5727944,39578
559,Varna,43.2069025,27.9150855,348058
560,Veliko Tarnovo,43.0820584,25.6321312,71150
561,Vidin,43.9858809,22.8773117,50977
562,Vratsa,43.2028209,23.548027,60877
563,Wolfsburg,52.4205588,10.7861682,122457
564,Abuja,9.0643305,7.4892974,776298
565,Lhasa,29.6553895,91.1704736,665500
566,Dubai,25.2047397,55.2707065,3396194
567,Kristiansand,58.14615,7.9957333,64057
568,Trondheim,63.4305658,10.3951929,186364
569,Harrisonburg,38.4493315,-78.8688833,54215
570,Bydgoszcz,53.1219648,18.0002529,350178
571,Słupsk,54.4649331,17.028073,93936
572,Koszalin,54.19092,16.17707,109170
573,Banha,30.4624974,31.184063,167029
574,Rethymno,35.3676472,24.4736079,29000
575,Chania,35.5120831,24.0191544,53910
576,Nador,35.1739922,-2.9281198,161726
577,León,42.5989995,-5.5682413,119150
578,Townsville,-19.2569391,146.8239537,157748
579,Suwałki,54.0990636,22.9279363,69317
580,Sopot,54.4447922,18.5684902,37903
581,Elbląg,54.1558708,19.4044583,126460
582,Las Vegas,36.1672559,-115.1485163,644644
583,Ostrołęka,53.0843135,21.5668607,52917
584,Łomża,53.1750699,22.0727551,63004
585,Mansoura,31.037566,31.38649,420195
586,El Mahalla El Kubra,30.9723517,31.1683002,431052
